packet_size,SLO,pps_tx,cpu_usage,expected cpu_quota,,throughput,cpu,,
128,569.81,53812,99.4,57042.7663,,756.89,81.95,,
128,608.72,58035,99.45,58527.95468,,749.99,84.02,,
512,1350,116413,80.65,58838.37297,,1176.01,80.35,,
256,759.28,69552,100.08,59977.47179,,1138.28,100,,
1024,1870,159149,76.65,60047.01664,,1502.11,100,,
128,585.29,56205,99.98,60468.55039,,729.11,100,,
256,866.55,81039,100.1,65205.88675,,1153.09,94.15,,
64,359.44,37893,100.2,66403.27581,,443.08,75.55,,
256,876.26,82699,99.95,66797.2044,,1107.31,100,,
64,376.4,39790,100.15,67490.91605,,432.29,100,,
512,1520,131316,91.65,69936.11589,,1579.54,100,,
64,363.63,38619,100.18,73620.57277,,440.53,74.67,,
128,552.81,53099,100.18,74052.91115,,734.15,100,,
64,375.23,38924,100.15,75228.57143,,433.83,100,,
64,369.82,39039,100.2,75533.64998,,434.82,100,,
128,549.6,54615,100.18,75878.33224,,729.31,100,,
128,539.81,53060,100.2,76018.32635,,737.23,89.3,,
64,376.92,38818,100.18,79580.67986,,439.76,75.92,,
64,365.73,38649,100.22,79812.83576,,441.82,74.3,,
512,1810,155695,97,79962.94703,,1484.09,100,,
512,1810,155313,97.03,79962.94703,,1484.09,100,,
512,1790,154161,97.27,80161.07286,,1454.07,100,,
512,1720,148100,96.55,80243.66992,,1421.29,100,,
512,1780,152783,97.47,80257.45841,,1489.18,95.08,,
256,982.06,89594,100.13,80373.05543,,1122.32,94.28,,
128,552.57,54579,100.22,80584.20218,,728.82,89.55,,
512,1770,152477,98.23,81342.19736,,1478.9,100,,
64,369.33,38676,100.17,82059.02227,,435.32,100,,
128,570.09,55269,100.18,82582.02246,,711.21,100,,
64,375.68,38310,100.18,83375.26821,,435.42,86.22,,
64,366.16,37784,100.2,85014.99678,,443.17,75.78,,
64,368.89,37506,100.17,86704.50898,,442.57,74.15,,
128,560.68,55236,100.2,87072.8802,,734.39,89.5,,
128,566.5,55395,100.2,88560.16925,,713.51,100,,
64,344.72,35886,100.2,88748.94834,,433.66,100,,
1024,2940,249180,97.67,90105.25305,,1862.61,100,,
1024,2860,242699,98.3,90848.57873,,1917.77,97.58,,
256,835.74,75761,100.62,91213.92496,,1108.86,94.37,,
128,569.02,55511,100.22,94047.0049,,733.15,89.22,,
1024,2510,213229,100,94122.06836,,1915.68,100,,
512,1570,136225,100.2,95394.58788,,1479.14,100,,
256,942.79,87765,100.2,96053.59055,,1080.24,100,,
512,1370,119841,100.2,96131.20099,,1519.58,100,,
512,1670,144245,100.17,96230.55556,,1495.21,93.57,,
256,961.19,88092,100.2,96610.94856,,1116.94,93.32,,
256,936.89,86439,100.22,96895.6297,,1106.78,94.35,,
128,549.91,55569,100.2,97272.10306,,715.83,100,,
128,565.66,55685,100.2,97355.1922,,720.16,100,,
512,1750,149549,100.22,98002.04628,,1461.06,100,,
256,937.93,88089,100.22,99004.6037,,1099.85,93.6,,
1024,2720,231082,100.3,99623.92427,,1912.37,100,,
